公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
富鼎,8261,"1,601.12",15.96,3.46,3.76,2.46
日友,8341,"1,909.87",61.67,45.35,47.63,38.07
羅昇,8374,"2,243.01",14.07,-1.12,-1.59,-1.43
福貞-KY,8411,"4,248.54",8.16,-1.17,-3.11,-3.14
基勝-KY,8427,"3,298.35",20.16,-1.66,-0.26,-1.20
威宏-KY,8442,"4,900.60",17.14,3.72,3.20,2.96
富邦媒,8454,"35,922.57",9.91,3.16,3.33,2.71
潤泰材,8463,"2,254.94",9.34,3.36,2.94,2.32
美吉吉-KY,8466,"2,614.32",26.32,14.06,14.98,11.74
山林水,8473,"3,390.04",20.14,14.73,12.07,8.86
泰昇-KY,8480,"1,422.34",29.94,14.95,18.26,16.58
商億-KY,8482,"2,973.10",39.52,20.33,23.30,22.25
格威傳媒,8497,"2,751.08",34.37,4.87,5.09,3.84
台汽電,8926,"3,704.78",8.29,3.69,25.18,24.78
高力,8996,"1,626.89",28.81,11.61,12.14,9.63
台火,9902,98.33,6.85,-11.97,30.85,30.85
大華,9905,"6,341.79",13.68,7.10,7.85,5.97
統一實,9907,"24,972.53",10.44,3.49,2.56,1.79
豐泰,9910,"54,936.71",24.59,11.91,14.02,10.00
